Name,mass,radius,orbital_period,semi_major_axis,eccentricity,inclination,star_distance,star_mass,star_radius,star_teff,M-dwarf,
TOI-1238 b,0.01183,0.1079,0.764597,0.0139,0.25,86.51,70.6424,0.59,0.58,4089,0,
TOI-1238 c,0.02618,0.1882,3.294736,0.037,0.15,88.38,70.6424,0.59,0.58,4089,0,
TOI-125 b,0.0299,0.2432,4.65382,0.05186,0.194,88.92,111.4,0.859,0.848,5320,0,
TOI-125 c,0.02086,0.24614,9.15059,0.0814,0.066,88.54,111.4,0.859,0.848,5320,0,
TOI-125 d,0.0428,0.2614,19.98,0.137,0.168,88.795,111.4,0.859,0.848,5320,0,
TOI-1259A b,0.441,1.022,3.47798,0.0407,0,89.7,118.11,0.68,0.739,4775,0,
TOI-1260 b,0.02693,0.215,3.127463,0.0367,0,89.03,73.41,0.66,0.65,4227,0,
TOI-1260 c,0.0415,0.2462,7.493134,0.0657,0,87.97,73.41,0.66,0.65,4227,0,
TOI-1260 d,0.03725,0.2783,16.608,0.1116,0,89.14,73.41,0.66,0.65,4227,0,
TOI-1266 b,0.05,0.2114,10.894843,0.0736,0.09,89.5,36.05,0.45,0.42,3600,1,
TOI-1266 c,0.0201,0.1392,18.80151,0.1058,0.04,89.3,36.05,0.45,0.42,3600,1,
TOI-1268 b,0.29,0.82,8.1577094,0.072,0.09,88.98,110,0.96,0.92,5200,0,
TOI-1278 b,18.5,1.09,14.47567,0.095,0.013,88.3,75.47,0.55,0.573,3799,0,
TOI-1288 b,42,0.4675,2.6998,0.0429,0.064,88.3,114.7,0.89,1.01,5225,0,
TOI-132 b,0.07183,0.306,2.1097008,0.026,0.087,84.63,164.47,0.97,0.9,5397,0,
TOI-1333 b,2.37,1.396,4.720219,0.0626,0.073,85.7,200.4,1.464,1.925,6274,0,
TOI-1422 b,0.028,0.3533,12.9972,0.108,0.04,89.52,154.56,0.981,1.019,5840,0,
TOI-1431 b/MASCARA-5 b,3.14,1.508,2.65022,0.047,0.01,80.4,149.6,1.9,1.92,7690,0,
TOI-1452 b,0.01517,0.14917,11.06201,0.061,0,89.77,30.5043,0.249,0.275,3185,1,
TOI-1478 b,0.847,1.06,10.180249,0.0903,0.025,88.51,153,0.946,1.05,5595,0,
TOI-150 b,2.51,1.255,5.857487,0.0643,0.262,88.09,336,1.249,1.551,6029,0,
TOI-157 b,1.18,1.286,2.0845435,0.0318,0,82.01,362.1,0.948,1.167,5404,0,
TOI-1601 b,0.99,1.239,5.331751,0.06864,0.036,88.84,336,1.517,2.186,5948,0,
TOI-163 b,1.22,1.489,4.231306,0.058,0,87.24,416.7,1.4352,1.648,6495,0,
TOI-1634 b,0.01545,0.1597,0.989343,0.01545,0.16,88.2,35.274,0.502,0.45,3550,1,
TOI-1670 b,0.0434,0.1838,10.98462,0.103,0.59,86.87,165.72,1.21,1.316,6170,0,
TOI-1670 c,0.63,0.987,40.74976,0.249,0.09,88.84,165.72,1.21,1.316,6170,0,
TOI-169 b,0.791,1.086,2.2554477,0.03524,0,80.98,412.5,1.147,1.288,5880,0,
TOI-1695 b,0.0182,0.17,3.1342788,0.033548,0.1,87.2,44.99,0.54,0.53,3630,1,
TOI-1696 b,0.1787,0.2891,2.50031,0.0235,0,88.461,65.03,0.255,0.2775,3185,1,
TOI-1710 b,0.089,0.4764,24.283429,0.16,0.16,89.6,81.1376,0.984,0.968,5665,0,
TOI-172 b,5.41,0.965,9.47721,0.0913,0.3805,88.3,336.47,1.124,1.774,5644,0,
TOI-1728 b,0.08426,0.4505,3.49151,0.0391,0.057,88.31,60.8,0.646,0.6243,3980,0,
TOI-1749 b,0.06,0.124,2.38839,0.0291,0.02,86.4,99.56,0.58,0.55,3985,0,
TOI-1749 c,0.0066,0.1891,4.4929,0.0443,0.007,88.8,99.56,0.58,0.55,3985,0,
TOI-1749 d,0.0135,0.2248,9.0497,0.0707,0.015,88.53,99.56,0.58,0.55,3985,0,
TOI-1759 b,0.0214,0.273,18.849975,0.1176,0,89.2,40.12,0.61,0.6,4036,0,
TOI-179 b,0.0758,0.2436,4.1374386,0.0476,0.34,87,38.585,0.807,0.798,5083,0,
TOI-181 b,0.13,0.6183,4.53206,0.05578,0.19,88.4,96.2338,0.781,0.74,4994,0,
TOI-1811 b,0.974,1,3.7130818,0.04393,0.061,86.41,128.3,0.819,0.773,4673,0,
TOI-1820 b,2.3,1.12,4.8607,0.069,0.043,85.4,250,1.04,1.51,5734,0,
TOI-1899 b,0.66,1.37,29.02,0.1587,0.118,89.77,128.4,0.627,0.607,3841,0,
TOI-1937 b,2.01,1.247,0.94667944,0.01932,0,77,418.7,1.072,1.08,5814,0,
TOI-2000 b,0.0324,0.2355,3.098331,0.0426,0,84.73,173.6,1.074,1.113,5607,0,
TOI-2000 c,0.2382,0.711,9.1270553,0.0875,0.064,87.94,173.6,1.074,1.113,5607,0,
TOI-2025 b,4.4,1.12,8.872086,0.089,0.44,88.6,339,1.32,1.56,5880,0,
TOI-2136 b,0.0148,0.1865,7.85191,0.054,0.07,89.441,33.36,0.34,0.34,3342,1,
TOI-2145 b,5.35,1.103,10.261081,0.1108,0.18,87.41,124.6,1.72,2.738,6189,0,
TOI-2152 b,2.83,1.281,3.3773512,0.05064,0.057,86.42,302.8,1.516,1.612,6630,0,
TOI-2154 b,0.92,1.453,3.6240801,0.0513,0.117,83.37,296.3,1.233,1.396,6280,0,
TOI-2158 b,0.82,0.96,8.60077,0.074,0.031,85.7,200,1.12,1.41,5673,0,
TOI-216 b,0.0558,0.6861,17.0991,0.1293,0.161,88.588,178.89,0.77,0.747,5045,0,
TOI-216 c,0.528,0.901,34.5507,0.2068,0.0062,89.792,178.89,0.77,0.747,5045,0,
TOI-2180 b,2.755,1.01,260.158,0.828,0.368,89.955,116.3,1.111,1.636,5695,0,
TOI-2193 b,0.94,1.77,2.1225735,0.03319,0,79.96,345.3,1.082,1.248,5966,0,
TOI-2196 b,0.082,0.3131,1.1947268,0.02234,0,81.11,263.98,1.032,1.043,5634,0,
TOI-220 b,0.0428,0.2694,10.695264,0.0892,0.029,87.86,89,0.825,0.858,5298,0,
TOI-2202 b,0.978,1,11.9101,0.09564,0.042,88.4,235.93,0.823,0.794,5144,0,
TOI-2207 b,0.64,0.995,8.001968,0.0854,0.174,88.84,380.6,1.296,1.564,6101,0,
TOI-2257 b,0.0179,0.19574,35.189346,0.145,0.496,89.786,57.7911,0.33,0.311,3430,1,
TOI-2285 b,0.0614,0.1552,27.26955,0.1363,0.3,89.66,42.409,0.454,0.464,3491,1,
TOI-2364 b,0.225,0.768,4.0197517,0.04871,0,88.98,218.63,0.954,0.886,5306,0,
TOI-2406 b,0.0286,0.2623,3.0766896,0.0228,0.26,89.63,55.6,0.162,0.202,3100,1,
TOI-2497 b,5.21,1,10.655661,0.1167,0.196,88.11,285.1,1.86,2.358,7360,0,
TOI-251 b,1,0.2444,4.93777,0.05741,0,87.52,99.52,1.036,0.881,5875,0,
TOI-257 b,0.134,0.626,18.38827,0.1523,0.24,88.78,77.07,1.389,1.926,6075,0,
TOI-2583 b,0.25,1.29,4.5207265,0.0571,0,88.16,561.2,1.215,1.477,5936,0,
TOI-2587 b,0.218,1.077,5.45664,0.0635,0,84.81,381,1.15,1.726,5760,0,
TOI-263 b,61.6,0.91,0.5568143,0.0098,0.017,87,279,0.4,0.405,3250,1,
TOI-269 b,0.0277,0.2471,3.6977104,0.0345,0.425,88.14,57.023,0.3917,0.398,3514,1,
TOI-270 b,0.006,0.11125,3.36008,0.0306,0,88.65,22.453,0.4,0.38,3386,1,
TOI-270 c,0.0208,0.2159,5.660172,0.0472,0,89.53,22.453,0.4,0.38,3386,1,
TOI-270 d,0.017,0.19,11.38014,0.0733,0,89.69,22.453,0.4,0.38,3386,1,
TOI-2796 b,0.44,1.59,4.8084983,0.04089,0,84.9,352.4,1.063,1.069,5764,0,
TOI-2803 b,0.975,1.616,1.96229325,0.03185,0,89,501.1,1.118,1.245,6280,0,
TOI-2818 b,0.71,1.363,4.039709,0.0493,0,87.73,315,0.977,1.229,5721,0,
TOI-2842 b,0.37,1.146,3.5514058,0.0475,0,84.42,460.2,1.135,1.265,5910,0,
TOI-2977 b,1.68,1.174,2.3505614,0.03386,0,89.19,355.7,0.936,1.073,5691,0,
TOI-3023 b,0.62,1.466,3.9014971,0.0505,0,88.9,392.8,1.12,1.668,5760,0,
TOI-3362 b,5.029,1.142,18.09547,0.153,0.815,89.14,370.85,1.445,1.83,6532,0,
TOI-3364 b,1.67,1.091,5.8768918,0.0675,0,88.79,275.6,1.186,1.419,5706,0,
TOI-3629 b,0.26,0.74,3.936551,0.043,0.05,89.1,129.7,0.63,0.6,3870,0,
TOI-3688 b,0.98,1.167,3.246075,0.0456,0,87.9,401,1.2,1.302,5950,0,
TOI-3714 b,0.7,1.01,2.154849,0.027,0.03,88.7,112.5,0.53,0.51,3660,1,
TOI-3757 b,0.2684,1.07,3.438753,0.03845,0.14,86.76,177.4,0.64,0.62,3913,0,
TOI-3807 b,1.04,2,2.8989727,0.0421,0,79.96,429,1.181,1.468,5772,0,
TOI-3819 b,1.11,1.172,3.2443141,0.04611,0,82.79,562.1,1.242,1.538,5859,0,
TOI-3884 b,0.0519,0.5629,4.5445697,0.0354,0.32,89.93,43.338,0.2813,0.3043,3269,1,
TOI-3912 b,0.406,1.274,3.4936264,0.0463,0,85.64,470,1.088,1.392,5725,0,
TOI-3976 b,0.175,1.095,6.607662,0.0743,0,87.28,522.2,1.254,1.501,5975,0,
TOI-4087 b,0.73,1.164,3.1774835,0.04469,0,87.82,310.4,1.178,1.112,6060,0,
TOI-4138 b,0.67,1.49,3.660028,0.051,0.03,86,507,1.32,1.82,,0,
TOI-4145 b,0.43,1.187,4.0664428,0.04823,0,86.2,205,0.905,0.859,5281,0,
TOI-431 b,0.00966,0.1142,0.490047,0.0113,0,84.3,32.61,0.78,0.731,4850,0,
TOI-431 d,0.0311,0.2935,12.46103,0.098,0,89.7,32.61,0.78,0.731,4850,0,
TOI-4463 b,0.794,1.183,2.8807198,0.04035,0,83.82,177.64,1.056,1.062,5640,0,
TOI-4562 b,3.29,1.072,225.11757,0.771,0.81,89.72,346.9,1.218,1.126,6096,0,
TOI-4791 b,2.31,1.11,4.28088,0.0555,0,85.55,322.1,1.242,1.409,6058,0,
TOI-5205 b,1.08,1.035,1.630757,0.0199,0.02,88.21,86.865,0.392,0.394,3439,1,
TOI-530 b,0.4,0.83,6.387597,0.052,0,89.1,147.7,0.53,0.54,3659,1,
TOI-532 b,0.1935,0.5192,2.32666508,0.0296,0,88.08,134.61,0.639,0.612,3957,0,
TOI-5542 b,1.32,1.009,75.12375,0.332,0.018,89.643,353.7,0.89,1.058,5700,0,
TOI-558 b,3.61,1.086,14.574071,0.1291,0.298,86.24,401,1.349,1.496,6466,0,
TOI-559 b,6.01,1.091,6.9839095,0.0723,0.15,89.08,233.2,1.026,1.233,5925,0,
TOI-564 b,1.463,1.02,1.651144,0.02734,0.072,78.38,200.7,1.1,1.04,5666,0,
TOI-620 b,0.0485,0.3354,5.0988179,0.04825,0.19,87.47,33.022,0.577,0.55,3708,0,
TOI-628 b,6.33,1.06,3.4095675,0.0486,0.07,88.4,178.5,1.311,1.345,6250,0,
TOI-640 b,0.88,1.771,5.0037775,0.06608,0.05,82.54,341.9,1.536,2.082,6460,0,
TOI-674 b,0.0739,0.4693,1.977143,0.0231,0.1,86.68,46.16,0.442,0.421,3505,1,
TOI-677 b,1.236,1.179,11.2366,0.1038,0.435,87.63,143,1.18,1.28,6295,0,
TOI-700 b,0.00406,0.08154,9.977219,0.0677,0.075,89.6,31.127,0.416,0.42,3480,1,
TOI-700 c,0.0249,0.232,16.051137,0.0929,0.068,88.9,31.127,0.416,0.42,3480,1,
TOI-700 d,0.00711,0.09573,37.42396,0.1633,0.042,89.8,31.127,0.416,0.42,3480,1,
TOI-712 b,0.0176,0.1828,9.531361,0.07928,0.54,88.22,58.62,0.732,0.674,4622,0,
TOI-712 c,0.0274,0.241,51.69906,0.2447,0.089,89.78,58.62,0.732,0.674,4622,0,
TOI-712 d,0.0236,0.22072,84.8396,0.3405,0.073,89.82,58.62,0.732,0.674,4622,0,
TOI-778 b,2.8,1.374,4.633611,0.06,0.21,84.7,162,1.4,1.71,6875,0,
TOI-836 b,0.01425,0.15202,3.81673,0.0422,0.053,87.57,27.504,0.678,0.665,4552,0,
TOI-836 c,0.0302,0.2308,8.59545,0.075,0.078,88.7,27.504,0.678,0.665,4552,0,
TOI-849 b,0.12299,0.30726,0.76552414,0.01598,0,86.8,225.2,0.929,0.919,5375.3,0,
TOI-905 b,0.667,1.171,3.739494,0.04666,0.024,85.68,159.4,0.85,1.14,5300,0,
TOI-942 b,2.599,0.4291,4.32419,0.04796,0,89.97,153.2732,0.88,0.893,4969,0,
TOI-942 c,2.501,0.5166,10.15643,0.0847,0,89.54,153.2732,0.88,0.893,4969,0,
TOI-954 b,0.174,0.852,3.6849729,0.04963,0.14,84.4,235.7,1.201,1.892,5710,0,
TRAPPIST-1 b,0.0027,0.09689,1.51087081,0.01111,0,89.65,12.1,0.08,0.117,2560,1,
TRAPPIST-1 c,0.00434,0.09421,2.4218233,0.01521,0,89.67,12.1,0.08,0.117,2560,1,
TRAPPIST-1 d,0.0013,0.0689,4.04961,0.02144,0,89.75,12.1,0.08,0.117,2560,1,
TRAPPIST-1 e,0.002,0.0819,6.099615,0.02817,0,89.86,12.1,0.08,0.117,2560,1,
TRAPPIST-1 f,0.0021,0.09323,9.20669,0.0371,0,89.68,12.1,0.08,0.117,2560,1,
TRAPPIST-1 g,0.00422,0.1005,12.35294,0.0451,0,89.71,12.1,0.08,0.117,2560,1,
TrES-1 b,0.761,1.099,3.0300722,0.0393,0,88.4,157,0.88,0.85,,0,
TrES-2 A b,1.253,1.189,2.470613374,0.03555,0,83.908,220,0.98,1,5850,0,
TrES-4 b,0.917,1.706,3.5539268,0.05084,0,82.81,479,1.388,1.798,6200,0,
V 1298 Tau b,2.2,0.8217,24.1382,0.1688,0.29,89,108.5,1.1,1.305,4970,0,
WASP-10 b,3.16,1.08,3.0927616,0.0371,0.057,86.8,90,0.71,0.783,4675,0,
WASP-104 b,1.272,1.137,1.7554137,0.02918,0,83.63,143,1.02,0.93,5450,0,
WASP-106 b,1.925,1.085,9.289715,0.0917,0,89.49,283,1.27,1.85,6000,0,
WASP-108 b,1.167,1.215,2.6755463,0.0397,0,88.49,220,1.167,1.215,6000,0,
WASP-109 b,0.91,1.443,3.3190233,0.0463,0,84.28,330,1.203,1.346,6520,0,
WASP-110 b,0.515,1.238,3.7783977,0.0457,0,88.06,320,0.892,0.881,5400,0,
WASP-111 b,1.85,1.442,2.310965,0.03914,0,81.61,210,1.5,1.85,6400,0,
WASP-112 b,0.88,1.191,3.0353992,0.0382,0,88.68,450,0.807,1.002,5610,0,
WASP-113 b,0.475,1.409,4.542168745,0.05885,0,86.46,360,1.318,1.608,5890,0,
WASP-114 b,1.769,1.339,1.5487743,0.02851,0.012,83.96,460,1.289,1.43,5940,0,
WASP-118 b,0.514,1.44,4.0460435,0.05453,0,88.7,380.53,1.32,1.7,6410,0,
WASP-119 b,1.23,1.4,2.49979,0.0363,0.058,85,333,1.02,1.2,5650,0,
WASP-12 b,1.47,1.9,1.09141937,0.02344,0,83.37,432.5,1.434,1.657,6360,0,
WASP-121 b,1.184,1.865,1.2749255,0.02544,0.02,87.6,270,1.353,1.458,6460,0,
WASP-124 b,0.6,1.24,3.37265,0.0499,0.017,86.3,433,1.07,1.02,6050,0,
WASP-126 b,0.2841,0.96,3.2888,0.0449,0.18,87.9,234,1.12,1.27,5800,0,
WASP-128 b,37.19,0.937,2.20883665,0.0359,0,89.1,422,1.155,1.152,5950,0,
WASP-129 b,1,0.93,5.748145,0.0628,0.096,87.7,246,1,0.9,5900,0,
WASP-130 b,1.23,0.89,11.55098,0.1012,0,88.66,180,1.04,0.96,5625,0,
WASP-131 b,0.27,1.22,5.322023,0.0607,0,85,250,1.06,1.53,6030,0,
WASP-132 b,0.41,0.8966,7.133514,0.067,0,89.51,120,0.8,0.74,4775,0,
WASP-133 b,1.16,1.21,2.176423,0.0345,0.17,87,457,1.16,1.44,5700,0,
WASP-134 b,1.412,0.988,10.1467583,0.0956,0.1447,89.13,195,1.131,1.16,5700,0,
WASP-135 b,1.9,1.3,1.4013794,0.0243,0,82,300,0.98,0.96,5680,0,
WASP-137 b,0.681,1.27,3.9080284,0.0519,0.14,84.59,289,1.216,1.65,6100,0,
WASP-14 b,7.341,1.281,2.2437661,0.036,0.087,84.79,160,1.211,1.306,6475,0,
WASP-140 b,2.44,1.44,2.2359835,0.0323,0.047,83.3,180,0.9,0.87,5260,0,
WASP-141 b,2.69,1.21,3.310651,0.0469,0,87.6,570,1.25,1.37,5900,0,
WASP-142 b,0.84,1.53,2.052868,0.0347,0,80.2,840,1.33,1.64,6010,0,
WASP-143 b,0.725,1.234,3.778873,0.049,0.0007,89,402,1.087,1,5900,0,
WASP-146 b,1.11,1.228,3.396944,0.0451,0.15,83.96,495,1.057,1.29,6100,0,
WASP-147 b,0.275,1.115,4.60273,0.0549,0,87.9,426,1.044,1.429,5702,0,
WASP-148 b,0.287,0.756,8.80345,0.08215,0.208,89.3,248.1,1,1.03,5460,0,
WASP-15 b,0.542,1.428,3.7520656,0.0499,0,85.5,308,1.18,1.477,6300,0,
WASP-150 b,8.46,1.07,5.644207,0.0694,0.3775,84.01,536,1.346,1.706,6093,0,
WASP-151 b,0.31,1.13,4.533471,0.055,0,89.2,480,1.077,1.14,5871,0,
WASP-153 b,0.39,1.55,3.332609,0.048,0,84.1,430,1.336,1.73,5914,0,
WASP-156 b,0.1303,0.554,3.8361603,0.0451,0,88.9,140,0.842,0.76,4910,0,
WASP-157 b,0.576,0.998,3.951623,0.0499,0,85.19,337.71,1.06,1.1,5772,0,
WASP-166 b,0.102,0.6155,5.44354215,0.0668,0,87.8,113,1.19,1.22,6050,0,
WASP-169 b,0.561,1.304,5.6114118,0.0681,0,87.9,638,1.337,2.011,6110,0,
WASP-171 b,1.084,0.988,3.8186244,0.0504,0,88.3,774,1.171,1.637,5965,0,
WASP-175 b,0.99,1.208,3.0652907,0.044,0,85.33,584,1.212,1.204,6229,0,
WASP-176 b,0.855,1.505,3.899052,0.0535,0,86.7,578,1.27,1.945,5902,0,
WASP-178 b,1.41,1.94,3.3448285,0.0558,0,85.7,417,1.93,1.801,8640,0,
WASP-18 b,10.4296,1.165,0.9414518,0.02047,0.0088,86,100,1.24,1.23,6400,0,
WASP-182 b,0.148,0.85,3.3769848,0.0451,0,83.88,331,1.076,1.34,5638,0,
WASP-184 b,0.57,1.33,5.1817,0.0627,0,86.9,640,1.23,1.65,6000,0,
WASP-189 b,1.99,1.619,2.724033,0.05053,0,84.03,99,1.887,2.33,7996,0,
WASP-2 A b,0.847,1.079,2.15222144,0.03138,0,84.73,144,0.84,0.834,5150,0,
WASP-20 A b,0.313,1.459,4.8996285,0.06003,0,85.57,210,1.202,1.392,5950,0,
WASP-21 b,0.3,1.21,4.3225126,0.052,0,87.12,230,1.01,1.06,5800,0,
WASP-22 b,0.617,1.199,3.5327313,0.04698,0,88.26,300,1.1,1.13,6000,0,
WASP-24 b,1.071,1.3,2.3412127,0.03651,0,83.64,332.5,1.129,1.147,6075,0,
WASP-25 b,0.58,1.26,3.76483,0.0474,0,87.7,169,1,0.95,5750,0,
WASP-26 b,1.028,1.281,2.7566004,0.03985,0,82.91,250,1.12,1.34,5950,0,
WASP-28 b,0.907,1.213,3.40883,0.04469,0.046,88.61,410,1.021,1.094,6150,0,
WASP-29 b,0.243,0.775,3.92271218,0.047,0.03,89.468,80,0.825,0.846,4800,0,
WASP-3 b,2.06,1.454,1.8468372,0.0313,0,85.06,223,1.24,1.31,6400,0,
WASP-30 b,60.86,0.889,4.156736,0.05325,0,89.57,366,1.166,0.889,6201,0,
WASP-31 b,0.478,1.537,3.405909,0.04657,0,84.54,400,1.16,1.24,6200,0,
WASP-33 b,2.8,1.603,1.21986967,0.02558,0,87.7,116,1.495,1.444,7400,0,
WASP-34 b,0.59,1.22,4.3176782,0.0524,0.038,85.2,120,1.01,0.93,5700,0,
WASP-36 b,2.279,1.269,1.5373653,0.02624,0,83.65,450,1.02,0.943,5881,0,
WASP-37 b,1.8,1.16,3.577471,0.04339,0,88.78,338,0.849,0.977,5800,0,
WASP-38 b,2.712,1.079,6.871815,0.07551,0.0321,88.69,110,1.216,1.365,6150,0,
WASP-39 b,0.28,1.27,4.055259,0.0486,0,87.83,230,0.93,0.895,5400,0,
WASP-4 b,1.1974,1.3846,1.338231602,0.02312,0.0053,88.87,300,0.93,1.15,5500,0,
WASP-41 b,0.94,1.18,3.052404,0.04,0.026,89.4,180,0.95,1.01,5450,0,
WASP-47 b,1.14243,1.127,4.1591289,0.052,0.0028,88.98,266.69,1.04,1.14,5552,0,
WASP-47 d,0.04122,0.319,9.03077,0.088,0.014,89.32,266.69,1.04,1.14,5552,0,
WASP-47 e,0.02149,0.161,0.789592,0.0173,0.03,85.98,266.69,1.04,1.14,5552,0,
WASP-5 b,1.637,1.171,1.6284246,0.02729,0,85.8,297,1,1.084,5700,0,
WASP-50 b,1.437,1.138,1.9550959,0.02913,0.009,84.74,230,0.861,0.855,5400,0,
WASP-52 b,0.46,1.27,1.7497798,0.0272,0,85.35,140,0.87,0.79,5000,0,
WASP-53 b,2.132,1.074,3.3098443,0.04101,0,87.08,235,0.839,0.798,4953,0,
WASP-55 b,0.61,1.33,4.46563,0.0533,0,89.6,299.97,1.11,1.09,5900,0,
WASP-58 b,0.89,1.37,5.01718,0.0561,0,87.4,300,0.94,1.17,5800,0,
WASP-59 b,0.863,0.775,7.919585,0.0697,0.1,89.27,125,0.719,0.613,4650,0,
WASP-6 b,0.503,1.224,3.361006,0.0421,0.054,88.47,307,0.888,0.87,5450,0,
WASP-61 b,2.06,1.24,3.8559,0.0514,0,89.35,480,1.22,1.36,6250,0,
WASP-62 b,0.57,1.39,4.411953,0.0567,0,88.3,160,1.25,1.28,6230,0,
WASP-63 b,0.38,1.43,4.37809,0.0574,0,87.8,330,1.32,1.88,5550,0,
WASP-66 b,2.32,1.39,4.086052,0.0546,0,85.9,380,1.3,1.75,6600,0,
WASP-67 b,0.42,1.4,4.61442,0.0517,0,85.8,225,0.87,0.87,5200,0,
WASP-69 b,0.26,1.057,3.8681382,0.04525,0,86.71,50,0.826,0.813,4715,0,
WASP-7 b,0.96,1.33,4.9546416,0.0617,0,87.03,140,1.276,1.432,6400,0,
WASP-70 A b,0.59,1.164,3.7130203,0.04853,0,87.12,245,1.106,1.215,5763,0,
WASP-71 b,2.258,1.5,2.9036747,0.04631,0,84.2,200,1.572,2.32,6050,0,
WASP-75 b,1.07,1.27,2.484193,0.0375,0,82,260,1.14,1.26,6100,0,
WASP-76 b,0.92,1.83,1.809886,0.033,0,88,195.3,1.46,1.73,6250,0,
WASP-78 b,0.89,1.7,2.17517656,0.0415,0,89,550,2.02,2.31,6100,0,
WASP-79 b,0.9,1.7,3.6623817,0.0539,0,85.4,240,1.56,1.64,6600,0,
WASP-8 b,2.244,1.038,8.158715,0.0801,0.31,88.55,87,1.033,0.953,5600,0,
WASP-80 b,0.554,0.952,3.0678504,0.0346,0.07,89.92,60,0.58,0.63,4145,0,
WASP-81 b,0.729,1.429,2.7164762,0.03908,0,88.69,410,1.08,1.283,5870,0,
WASP-82 b,1.24,1.67,2.705782,0.0447,0,87.9,200,1.63,2.18,6500,0,
WASP-83 b,0.3,1.04,4.071252,0.059,0,88.9,300,1.11,1.05,5480,0,
WASP-84 b,0.694,0.942,8.5234865,0.0771,0,88.368,120,0.842,0.748,5314,0,
WASP-87 A b,2.21,1.385,1.682795,0.02946,0,81.07,240,1.204,1.627,6450,0,
WASP-90 b,0.63,1.63,3.916243,0.0562,0,82.1,340,1.55,1.98,6430,0,
WASP-92 b,0.805,1.461,2.1746742,0.0348,0,83.75,530,1.19,1.341,6280,0,
Wendelstein-1 b,0.59,1,2.663416,0.0282,0.012,86.12,304,0.65,0.61,4125,0,
Wendelstein-2 b,0.73,1,1.7522239,0.0234,0.193,87.87,575,0.73,0.66,4667,0,
Wolf 503 b,0.0197,0.18227,6.001127,0.05706,0.41,-2,44.583,0.688,0.69,4716,0,
WTS-1 b,4.01,1.49,3.352059,0.047,0.1,85.5,3200,1.2,1.15,6250,0,
WTS-2 b,1.12,1.3,1.0187074,0.01855,0,83.43,1000,0.82,0.761,5000,0,
XO-1 b,0.9,1.184,3.9415128,0.0488,0,89.31,200,1,0.928,,0,
XO-2N b,0.62,0.973,2.615838,0.0369,0.045,88.7,149,0.98,0.964,5340,0,
XO-3 b,11.79,1.217,3.1915239,0.0454,0.26,84.2,260,1.41,1.49,6781,0,
XO-4 b,1.616,1.317,4.12473,0.05485,0,88.47,293,1.32,1.55,5700,0,
XO-5 b,1.077,1.03,4.1877537,0.0487,0,86.8,255,0.88,1.06,5510,0,
XO-6 b,1.9,2.07,3.7650007,0.0815,0,86,86,1.47,1.93,6720,0,
XO-7 b,0.709,1.373,2.8641424,0.04421,0.038,83.45,234.1,1.405,1.48,6250,0,
